store_id,pick_up_lat,pick_up_lng
s1,4.738820477,-74.08384758
s2,4.675992,-74.048853
s3,4.642966,-74.073849
s4,4.636994,-74.1398384
s5,4.65565,-74.059637
s6,4.592725225,-74.15548236
s7,4.6990269,-74.0511768
s8,4.720375225,-74.03881204
s9,4.64867,-74.059986
s10,4.6635,-74.122968
s11,4.639833,-74.136866
s12,4.602112431,-74.10113408
s13,4.674807,-74.048516
s14,4.644214,-74.120212
s15,4.602953,-74.101699
s16,4.64102,-74.062154
s17,4.635989,-74.064345
s18,4.615052,-74.0693842
s19,4.663759111,-74.11764028
s20,4.722765,-74.068995
s21,4.687882629,-74.06933173
s22,4.617425,-74.071957
s23,4.705645,-74.053162
s24,4.586539,-74.096612
s25,4.718036,-74.068718
s26,4.655809,-74.059637
s27,4.7317634,-74.0452257
s28,4.625076532,-74.06804311
s29,4.652960063,-74.10849218
s30,4.689738,-74.10091
s31,4.741483,-74.04636
s32,4.7283638,-74.063911
s33,4.693799,-74.089244
s34,4.673501,-74.051546
s35,4.7441034,-74.0463198
s36,4.644204,-74.150024
s37,4.658195,-74.057514
s38,4.698791,-74.051441
s39,4.695621644,-74.05056799
s40,4.680976,-74.042359
s41,4.669365,-74.122174
s42,4.734706,-74.086118
s43,4.610415,-74.093767
s44,4.697331,-74.046349
s45,4.741268,-74.083221
s46,4.64458045,-74.06173554
s47,4.5792116,-74.1277153
s48,4.687365,-74.101783
s49,4.717173,-74.069236
s50,4.688863,-74.047401
s51,4.624255,-74.076433
s52,4.622552,-74.124604
s53,4.686986,-74.10471
s54,4.687248,-74.035214
s55,4.738852,-74.083928
s56,4.639959,-74.063403
s57,4.650013,-74.059962
s58,4.705652,-74.053164
s59,4.724587,-74.033264
s60,4.671387,-74.140928
s61,4.664116,-74.117765
s62,4.638538,-74.14215
s63,4.725080045,-74.03196631
s64,4.735027587,-74.08712464
s65,4.644232,-74.120213
s66,4.696226,-74.092335
s67,4.693907,-74.089383
s68,4.653645,-74.067395
s69,4.602913,-74.101689
s70,4.658167,-74.057496
s71,4.740543,-74.099154
s72,4.683464,-74.092003
s73,4.670656,-74.097238
s74,4.731749273,-74.04502975
s75,4.709948,-74.105878
s76,4.762861,-74.038579
s77,4.693679322,-74.091671
s78,4.595418,-74.11443
s79,4.595514,-74.114342
s80,4.619159,-74.0655851
s81,4.645640218,-74.13014992
s82,4.683242,-74.091968
s83,4.695146,-74.139839
s84,4.702455,-74.049451
s85,4.678790089,-74.04537519
s86,4.705665039,-74.05315653
s87,4.621748,-74.075349
s88,4.695941,-74.027713
s89,4.722831577,-74.03401163
s90,4.705157,-74.053403
s91,4.720721,-74.05537
s92,4.675855167,-74.04882979
s93,4.696977349,-74.10281525
s94,4.737906,-74.065907
s95,4.644216,-74.12021
s96,4.647448,-74.061225
s97,4.6018879,-74.0696697
s98,4.695361,-74.050252
s99,4.652769611,-74.05436964
s100,4.668919,-74.065942
s101,4.699454961,-74.04363365
s102,4.664568671,-74.05137437
s103,4.655332,-74.051665
s104,4.7514173,-74.102082
s105,4.706898,-74.11506
s106,4.611159,-74.075896
s107,4.735105593,-74.06596278
s108,4.741849,-74.046262
s109,4.710672,-74.108252
s110,4.752628,-74.091653
s111,4.68853,-74.061621
s112,4.6943481,-74.0488974
s113,4.698791,-74.049754
s114,4.676401,-74.048714
s115,4.614815,-74.069261
s116,4.644385,-74.12018
s117,4.67378,-74.108574
s118,4.694479,-74.086483
s119,4.722851,-74.033364
s120,4.670346,-74.096374
s121,4.728943178,-74.04081046
s122,4.6793672,-74.046993
s123,4.657031,-74.108043
s124,4.694708,-74.086188
s125,4.599688,-74.095014
s126,4.6904,-74.050526
s127,4.723432,-74.02721
s128,4.866188,-74.03676
s129,4.689838111,-74.04593974
s130,4.675944,-74.048892
s131,4.704446,-74.032249
s132,4.678142988,-74.04549549
s133,4.687545,-74.073636
s134,4.629199532,-74.08736146
