order_id,store_id,pick_up_lat,pick_up_lng,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
o1,s1,3.366367,-76.530618,3.376961,-76.523163,0:00:46,0:06:21,0:11:21,0:30:46
o2,s2,3.402337,-76.526587,3.3660614,-76.5167719,0:03:52,0:05:03,0:40:03,0:50:52
o3,s3,3.403688122,-76.53427572,3.4054184,-76.5285009,0:04:12,0:05:27,0:39:27,0:34:12
o4,s1,3.366367,-76.530618,3.381545,-76.536549,0:12:03,0:14:47,0:19:47,0:42:03
o5,s4,3.461352,-76.531825,3.4447981,-76.5089233,0:12:47,0:13:43,0:48:43,0:47:47
o6,s5,3.422228,-76.541262,3.3980846,-76.5401123,0:16:10,0:16:47,0:26:47,0:46:10
o7,s4,3.461352,-76.531825,3.460852,-76.531896,0:18:34,0:19:47,1:09:47,0:53:34
o8,s6,3.432901,-76.543776,3.4268751,-76.5474653,0:36:45,0:37:58,1:02:58,1:06:45
o9,s6,3.432901,-76.543776,3.4594048,-76.5318612,0:39:57,0:41:13,0:46:13,1:09:57
o10,s4,3.461352,-76.531825,3.4833764,-76.5181305,0:47:22,0:48:36,1:38:36,1:22:22
o11,s7,3.462128,-76.532539,3.4833764,-76.5181305,0:55:13,1:05:46,1:10:46,1:25:13
o12,s8,3.462099811,-76.53190431,3.446977,-76.548042,0:56:49,0:58:19,1:23:19,1:26:49
o13,s9,3.478603443,-76.52248599,3.470493,-76.504265,1:08:47,1:10:21,1:25:21,1:38:47
o14,s6,3.432901,-76.543776,3.399662334,-76.54614151,1:09:04,1:10:16,1:25:16,1:39:04
o15,s1,3.366367,-76.530618,3.383303743,-76.51490651,1:14:52,1:16:11,1:21:11,1:44:52
o16,s1,3.366367,-76.530618,3.352819,-76.540154,1:18:47,1:20:30,1:25:30,1:48:47
o17,s1,3.366367,-76.530618,3.3825042,-76.5093483,1:26:39,1:29:01,1:34:01,1:56:39
o18,s8,3.462099811,-76.53190431,3.458541183,-76.52932607,1:37:21,1:38:41,2:04:41,2:07:21
o19,s4,3.461352,-76.531825,3.438909739,-76.54518919,1:37:22,1:38:45,2:28:45,2:12:22
o20,s1,3.366367,-76.530618,3.352819,-76.540154,1:45:12,1:46:27,1:51:27,2:15:12
o21,s1,3.366367,-76.530618,3.3715876,-76.5055748,1:53:39,1:58:51,2:03:51,2:23:39
o22,s2,3.402337,-76.526587,3.3820466,-76.5426618,2:00:44,2:01:37,2:31:37,2:45:44
o23,s2,3.402337,-76.526587,3.4223838,-76.5105387,2:07:57,2:10:13,2:28:13,2:52:57
o24,s4,3.461352,-76.531825,3.472108,-76.51896,2:09:05,2:10:00,2:45:00,2:44:05
o25,s6,3.432901,-76.543776,3.4268751,-76.5474653,2:32:38,2:33:36,2:38:36,3:02:38
o26,s7,3.462128,-76.532539,3.45631,-76.535536,3:14:30,3:17:40,3:22:40,3:44:30
o27,s1,3.366367,-76.530618,3.370120815,-76.51736911,5:09:18,5:10:23,5:15:23,5:39:18
o28,s10,3.431775,-76.538941,3.408613,-76.545812,6:25:57,6:27:18,6:35:18,6:55:57
o29,s10,3.431775,-76.538941,3.430546672,-76.55512892,6:27:17,6:28:11,6:41:11,6:57:17
o30,s11,3.480488,-76.524805,3.49115,-76.515426,6:30:14,6:31:20,6:49:20,7:01:14
o31,s12,3.38960698,-76.52852186,3.3745599,-76.5155311,6:40:48,6:42:02,6:57:02,7:12:48
o32,s13,3.422651,-76.538379,3.381286,-76.532519,6:41:02,6:45:30,7:10:30,7:11:02
o33,s14,3.46878905,-76.52890218,3.490176248,-76.52275231,6:51:14,6:52:12,7:10:12,7:18:14
o34,s15,3.388054,-76.53889,3.368235803,-76.5336347,6:52:32,6:54:02,7:14:02,7:23:32
