order_id,store_id,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
o1,s1,7.104526,-73.125867,0:20:22,0:21:20,0:43:20,0:50:22
o2,s2,7.099599111,-73.1005121,0:34:57,0:44:20,0:54:20,1:34:57
o3,s3,7.065822,-73.077078,1:12:30,1:14:01,1:34:01,1:48:30
o4,s4,7.079416754,-73.11599884,1:18:14,1:20:11,1:25:11,1:48:14
o5,s3,7.067986,-73.1037378,1:35:58,1:37:25,1:57:25,2:07:58
o6,s5,7.112819,-73.116443,5:10:39,5:11:48,5:16:48,5:40:39
o7,s6,7.0997729,-73.1180597,6:34:51,6:36:07,6:54:07,7:04:51
o8,s6,7.120345,-73.115235,6:38:46,6:40:07,7:03:07,7:08:46
o9,s7,7.119077,-73.114194,7:18:28,7:19:48,7:34:48,7:43:28
o10,s8,7.107014059,-73.11737984,7:25:33,7:27:33,7:52:33,7:55:33
o11,s9,7.1175287,-73.1236638,7:35:33,7:36:30,8:06:30,8:10:33
o12,s10,7.1288052,-73.1093422,7:46:28,7:47:13,7:57:13,8:03:28
o14,s11,7.114377,-73.11388,8:04:30,8:05:30,8:20:30,8:34:30
o15,s8,7.1120543,-73.1174802,8:07:35,8:09:20,8:31:20,8:37:35
o16,s12,7.1046652,-73.1186034,8:17:11,8:18:20,8:48:20,8:47:11
o17,s13,7.11755,-73.11227,8:20:52,8:22:20,8:52:20,8:50:52
o18,s14,7.112402772,-73.1141803,8:24:38,8:25:52,8:43:52,8:47:38
o19,s15,7.130670093,-73.12494736,8:33:39,8:34:22,8:51:22,9:03:39
o20,s16,7.115116,-73.11438,8:43:43,8:44:57,9:14:57,9:13:43
o21,s11,7.115116,-73.11438,8:43:43,8:44:23,8:59:23,9:13:43
o22,s11,7.100359343,-73.12633071,8:43:54,8:44:50,8:59:50,9:13:54
o23,s17,7.125165,-73.1213439,8:44:41,8:46:19,9:01:19,9:14:41
o24,s18,7.1215941,-73.1059349,8:46:08,8:46:43,8:56:43,9:09:08
o25,s6,7.122298,-73.108463,8:50:18,8:51:23,9:09:23,9:20:18
o26,s19,7.106036,-73.107129,8:50:27,8:51:39,9:13:39,9:20:27
o27,s11,7.1335566,-73.1180501,8:51:50,8:52:35,9:07:35,9:21:50
o28,s17,7.125739372,-73.10862478,8:52:28,8:54:06,9:09:06,9:22:28
o29,s20,7.0879934,-73.118793,8:55:37,8:57:12,9:12:12,9:20:37
o30,s21,7.116457,-73.11606,8:59:31,9:00:16,9:12:16,9:29:31
o40,s22,7.11344,-73.114615,9:01:20,9:02:34,9:22:34,9:31:20
o41,s21,7.12054,-73.106998,9:03:20,9:04:09,9:16:09,9:33:20
o42,s23,7.111601306,-73.11139986,9:03:29,9:04:35,9:30:35,9:33:29
o43,s24,7.1284557,-73.1227117,9:04:11,9:05:21,9:10:21,9:34:11
o44,s11,7.1108847,-73.1222047,9:07:40,9:08:31,9:23:31,9:37:40
o45,s6,7.1361572,-73.1258242,9:08:06,9:08:57,9:26:57,9:38:06
o46,s17,7.1117909,-73.1130265,9:08:34,9:10:03,9:23:03,9:38:34
o47,s25,7.1286412,-73.120039,9:08:53,9:10:23,9:32:23,9:38:53
o48,s26,7.1176391,-73.1109663,9:12:05,9:13:14,9:26:14,9:34:05
o49,s11,7.120665,-73.117315,9:12:31,9:13:15,9:28:15,9:42:31
