courier_id,vehicle,on_lat,on_lng,on_time,off_time
c1,motorcycle,11.00565915,-74.81695086,0:00:00,21:37:01
c2,motorcycle,10.99530735,-74.81364638,0:00:00,23:58:00
c3,motorcycle,10.97594462,-74.80465025,0:00:00,20:16:03
c4,motorcycle,11.00449825,-74.82652634,0:00:00,23:58:00
c5,motorcycle,10.99736808,-74.81455296,0:00:00,23:58:00
c6,bicycle,11.02319689,-74.80362564,0:00:00,23:58:00
c7,motorcycle,11.00454388,-74.82663363,0:00:00,23:12:00
c8,bicycle,11.00400144,-74.81366247,0:00:00,22:54:00
c9,motorcycle,10.96806417,-74.78476435,0:00:00,23:58:00
c10,bicycle,11.00582898,-74.81695086,0:00:00,23:58:00
c11,bicycle,10.92430981,-74.77348298,0:00:00,20:48:02
c12,motorcycle,10.98023843,-74.81076032,0:00:00,9:50:01
c13,motorcycle,10.99519582,-74.81774479,0:00:00,22:29:00
c14,motorcycle,11.00227783,-74.82794255,0:00:00,23:58:00
c15,bicycle,10.97859593,-74.80489701,0:00:00,23:58:00
c16,car,10.94877494,-74.79783207,0:00:00,17:13:04
c17,motorcycle,11.0075678,-74.82041091,0:00:00,22:51:00
c18,bicycle,10.95958806,-74.8413375,0:00:00,23:58:00
c19,motorcycle,10.97577226,-74.79904443,0:00:00,22:11:00
c20,motorcycle,11.0064804,-74.79518205,0:00:00,23:07:00
c21,motorcycle,11.01477654,-74.82641369,0:00:00,23:24:00
c22,motorcycle,10.99463565,-74.81175274,0:00:00,23:58:00
c23,bicycle,10.98935583,-74.80416745,0:00:00,0:07:00
c24,motorcycle,10.98427371,-74.79745656,0:00:00,23:58:00
c25,bicycle,10.98057555,-74.84390706,0:00:00,8:11:01
c26,car,10.91626714,-74.78837997,0:00:00,21:39:00
c27,motorcycle,10.98006861,-74.83318359,0:00:00,23:58:00
c28,motorcycle,11.0065311,-74.79513377,0:00:00,0:02:00
c29,motorcycle,10.95558067,-74.82977182,0:00:00,19:30:05
c30,motorcycle,10.94808803,-74.82853264,0:00:00,23:58:00
c31,bicycle,10.97614232,-74.79143769,0:00:00,23:58:00
c32,bicycle,11.00145405,-74.80735928,0:00:00,23:52:00
c33,motorcycle,10.91426218,-74.8042962,0:00:00,21:34:01
c34,motorcycle,10.97700159,-74.795461,0:00:00,23:49:00
c35,motorcycle,10.92961245,-74.80286926,0:00:00,23:31:00
c36,motorcycle,10.9842585,-74.79746729,0:00:00,23:32:00
c37,bicycle,10.9761043,-74.84596163,0:00:00,23:58:00
c38,motorcycle,11.00474412,-74.82648879,0:00:00,23:58:00
c39,motorcycle,10.97259625,-74.82245475,0:00:00,19:36:04
c40,walking,10.99472183,-74.79839534,0:00:00,12:26:05
c41,motorcycle,10.92204124,-74.80159789,0:00:00,19:12:04
c42,motorcycle,11.01977501,-74.81710643,0:00:00,23:58:00
c43,motorcycle,10.96257396,-74.77171808,0:00:00,15:18:04
c44,bicycle,10.99368006,-74.81036872,0:00:00,20:53:01
c45,motorcycle,10.9912011,-74.79355127,0:00:00,23:01:00
c46,motorcycle,10.94655199,-74.79408771,0:00:00,15:48:04
c47,motorcycle,10.96598316,-74.80196267,0:00:00,19:04:04
c48,motorcycle,10.96850267,-74.83583897,0:00:00,23:43:00
c49,motorcycle,11.01504269,-74.82686967,0:00:00,23:52:00
c50,motorcycle,10.98247659,-74.83207852,0:00:00,22:49:00
c51,motorcycle,11.0030712,-74.81534153,0:00:00,23:58:00
c52,bicycle,11.00976033,-74.8089096,0:00:00,2:59:00
c53,motorcycle,10.91829492,-74.79961842,0:00:00,21:27:01
